Category,Service / Provider,Purpose,Current / Recommended Tier,Estimated Scaling Cost (per month)
Hosting (Frontend),Vercel / Netlify,Globally distributed static & SPA hosting,Pro Plan ($20/mo),"$20+"
Hosting (Backend),Render / AWS EC2 / DigitalOcean,Node.js/Express Server Hosting,Pro Plan ($15 - $25/mo),"$20 - $50+"
Database & Auth,Supabase,PostgreSQL DB + Auth + Remote Storage,Pro Plan ($25/mo),"$25+"
AI Engine (API),Google Gemini API,Voice Coaching Evaluation & Feedback,Pay-As-You-Go API,"Usage based (e.g., $10-$50+)"
Payment Gateway (API),Razorpay / Stripe,Subscription & Course Payments,Pay-As-You-Go,"2-3% per transaction"
Core Library,React & Ecosystem,Frontend Framework,Open Source (Free),"$0"
Core Library,Framer Motion & Lucide,Animations and Icons,Open Source (Free),"$0"
Core Library,Tesseract.js & Multer,OCR and File Upload Handling,Open Source (Free),"$0"
Analytics (SaaS),PostHog / Mixpanel,User Behavior & Conversion Tracking,Team/Pro Plan ($0 to $45+),~"$0 initially, scaling to $45+"
Email Delivery (API),Resend / SendGrid,Transactional Emails (Verification/Receipts),Pro Plan ($20/mo),"$20+"
SMS Gateway (API),Twilio / MSG91,Phone OTP Auth & SMS Reminders,Pay-As-You-Go,"~$0.01 - $0.05 per SMS"
Error Monitoring (SaaS),Sentry,Frontend & Backend Crash Reporting,Team Plan ($29/mo),"$29+"
Media & CDN (API),Cloudinary / Mux,Slow Network Video & Image Optimization,Pay-As-You-Go,"Usage based (e.g., $10-$50+)"
Real-time / WebSockets,Socket.io / Pusher,Live Chat / Live Leaderboard,Free Tier to Startup ($49),"$0 - $49+"
